dataset-comment "Conformance conversion: Mon Dec 07 09:59:10 2009"
dataset-description "Sudden Expansion 500 "
dataset-orientation "Sudden Expansion"
dataset-reynolds 0500
dataset-laminar-turbulent ""
dataset-experiment 1
dataset-code 243
dataset-experiment 1
geometry-flow-z-direction +1
geometry-throat-outlet-expansion-type "sudden"
geometry-sudden-z 0.0
fluid-density 1056
fluid-viscosity 0.0035
5.5263600E-003  0.00000E+000
5.7021840E-003  0.00000E+000
5.8780080E-003  0.00000E+000
6.0538320E-003  0.00000E+000
6.2296560E-003  0.00000E+000
6.4054800E-003  0.00000E+000
6.5813040E-003  0.00000E+000
6.7571280E-003  0.00000E+000
6.9329520E-003  0.00000E+000
7.1087760E-003  0.00000E+000
plot-profile-axial-velocity-at-z -0.02000 0
100
-1.0054620E-002  0.00000E+000
-9.8797580E-003  0.00000E+000
-9.7048960E-003  0.00000E+000
-9.5300340E-003  0.00000E+000
-9.3551720E-003  0.00000E+000
-9.1803100E-003  0.00000E+000
-9.0054480E-003  0.00000E+000
-8.8305860E-003  0.00000E+000
-8.6557240E-003  0.00000E+000
-8.4808620E-003  0.00000E+000
-8.3060000E-003  0.00000E+000
-8.1311380E-003  0.00000E+000
-7.9562760E-003  0.00000E+000
-7.7814140E-003  0.00000E+000
-7.6065520E-003  0.00000E+000
-7.4316900E-003  0.00000E+000
-7.2568280E-003  0.00000E+000
-7.0819660E-003  0.00000E+000
-6.9071040E-003  0.00000E+000
-6.7322420E-003  0.00000E+000
-6.5573800E-003  0.00000E+000
-6.3825180E-003  0.00000E+000
-6.2076560E-003  0.00000E+000
-6.0327940E-003  0.00000E+000
-5.8579320E-003  0.00000E+000
-5.6830700E-003  0.00000E+000
-5.5082080E-003  0.00000E+000
-5.3333460E-003  0.00000E+000
-5.1584840E-003  0.00000E+000
-4.9836220E-003  0.00000E+000
-4.8087600E-003  0.00000E+000
-4.6338980E-003  0.00000E+000
-4.4590360E-003  0.00000E+000
-4.2841740E-003  0.00000E+000
-4.1093120E-003  0.00000E+000
-3.9344500E-003  0.00000E+000
-3.7595880E-003  0.00000E+000
-3.5847260E-003  0.00000E+000
-3.4098640E-003  0.00000E+000
-3.2350020E-003  0.00000E+000
-3.0601400E-003  0.00000E+000
-2.8852780E-003  0.00000E+000
-2.7104160E-003  0.00000E+000
-2.5355540E-003  0.00000E+000
-2.3606920E-003  0.00000E+000
-2.1858300E-003  0.00000E+000
-2.0109680E-003  0.00000E+000
-1.8361060E-003  2.47143E-001
-1.6612440E-003  3.27415E-001
-1.4863820E-003  4.23245E-001
-1.3115200E-003  5.09088E-001
-1.1366580E-003  5.76062E-001
-9.6179600E-004  6.23721E-001
-7.8693400E-004  6.55832E-001
-6.1207200E-004  6.73151E-001
-4.3721000E-004  6.81104E-001
-2.6234800E-004  6.84319E-001
-8.7486000E-005  6.85999E-001
8.7376000E-005  6.86198E-001
2.6223800E-004  6.84461E-001
